"Home Player","Away Player","Week","Division","Status","Match Time","Unix Time","Match Format","Restream Channel","Winner","Home Score","Away Score","Vod","Commentators"
"gamestabled","GravityBeatle","2","2","Played","1/24 12:30","1611509400","Draft","Bingothon","gamestabled","13","10","","Jeff, Lego"
"Papa","PK","2","2","Played","1/24 14:00","1611514800","Connect 5","Bingothon","Papa","13","8","","Jeff, Jukatox"
"Tom$","DarkMan","2","3a","Played","1/24 15:30","1611520200","Connect 5","Bingothon","Tom$","8","3","","Juan, Funky"
"mae","Libre","2","3a","Played","1/24 17:00","1611525600","Row Control","Bingothon","Libre","2","3","","Funky, Sid"
"JBuzzyBee","Urbani","2","3b","Played","1/24 18:30","1611531000","Lockout","SunshineCommunity","Urbani","6","13","","Trey, Sid"
"ShadowMario27","Briguy","2","1","Played","1/24 20:00","1611536400","Invasion","SunshineCommunity","ShadowMario27","13","9","","Papa, Pogo"
"Tom$","MrYhatoh","9","3a","Played","1/24 20:00","1611536400","Invasion","Offline","Tom$","13","11","","Offline"
"Urbani","Segastar","9","3b","Played","1/26 18:00","1611702000","Row Control","Offline","Urbani","3","1","","Offline"
"ModestTomato","Pinkish","9","3b","Played","1/26 20:00","1611709200","Draft","Offline","ModestTomato","13","9","","Offline"
"SidedWilliams","AverageTrey","9","1","Played","1/27 14:00","1611774000","Draft","Bingothon","SidedWilliams","13","10","","Dani, Bri"
"Ricrexx","Papa","9","2","Played","1/27 15:30","1611779400","Lockout","Bingothon","Papa","6","13","","Juan, Pogo"
"Jukatox","Derpspace","3","3a","Played","1/27 17:00","1611784800","Draft","Offline","Jukatox","13","7","","Offline"
"peaches","gamestabled","9","2","Played","1/27 17:00","1611784800","Invasion","Bingothon","peaches","13","9","","Trey, Tomato"
"SpanishMeerkat","Dex","9","3a","Played","1/27 19:00","1611792000","Lockout","Offline","Dex","5","13","","Offline"
"Fullaire","Lego","9","3b","Played","1/27 20:00","1611795600","Connect 5","Offline","Lego","10","13","","Offline"
"MoJungo","Juan","9","3b","Played","1/27 21:15","1611800100","Draft","Offline","Juan","10","13","","Offline"
"MrYhatoh","DarkMan","3","3a","Played","1/28 15:30","1611865800","Draft","SunshineCommunity","MrYhatoh","13","11","","Juan, rudhira"
"JJsrl","UrinalMike","9","1","Played","1/28 17:00","1611871200","Connect 5","SunshineCommunity","JJsrl","11","4","","Larvitar, PK"
"RSW","Ricrexx","3","2","Played","1/28 17:00","1611871200","Draft","Bingothon","RSW","13","7","","Plankton, rudhira"
"JBuzzyBee","Pixel626","9","3b","Played","1/28 20:00","1611882000","Connect 5","Offline","JBuzzyBee","13","5","","Offline"
